"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"Associated Beth Rivkah Schools","Brooklyn","NY","two year",78646,NA,"private NFP"
"Bank Street College of Education","New York","NY","four year",32641420,NA,"private NFP"
"Bard College","Anndale-On-Hudson","NY","four year",50597043,5104,"private NFP"
"Barrd College","New York","NY","four year",58742751,4289,"private NFP"
"Beth Hamedrash Shaarei Yosher Institute","Brooklyn","NY","four year",234205,NA,"private NFP"
"Phillips Beth Israel School of Nursing","New York","NY","two year",1677131,3500,"private NFP"
"Boricua College","New York","NY","four year",9764256,4221,"private NFP"
"Bramson ORT College","Forest Hills","NY","two year",2711656,3437,"private NFP"
"Brooklyn Law School","Brooklyn","NY","four year",42013760,NA,"private NFP"
"Broome Community College","Binghamton","NY","two year",6472228,3752,"public"
"Canisius College","Buffalo","NY","four year",59805956,8152,"private NFP"
"Cazenovia College","Cazenovia","NY","four year",4050869,6872,"private NFP"
"Central Yeshiva Tomchei Tmimim Lubavitz","Brooklyn","NY","four year",1190900,NA,"private NFP"
"Christ the King Semiry","East Aurora","NY","four year",325112,NA,"private NFP"
"Circle in the Square Theater School","New York","NY","two year",1203758,6500,"private NFP"
"Clarkson University","Potsdam","NY","four year",36793047,7005,"private NFP"
"Clinton Community College","Plattsburgh","NY","two year",1432808,5037,"public"
"Cochran School of Nursing","Yonkers","NY","two year",2444364,NA,"private NFP"
"Colgate Rochester Crozer Divinity School","Rochester","NY","four year",665457,NA,"private NFP"
"Colgate University","Hamilton","NY","four year",75024129,2416,"private NFP"
"Metropolitan College of New York","New York","NY","four year",20176158,7260,"private NFP"
"Columbia-Greene Community College","Hudson","NY","two year",1126852,4396,"public"
"Concordia College-New York","Bronxville","NY","four year",8896456,6683,"private NFP"
"Cooper Union for the Advancement of Science and Art","New York","NY","four year",992858,3294,"private NFP"
"Cornell University","Ithaca","NY","four year",389798156,5431,"private NFP"
"Weill Cornell Medical College","New York","NY","four year",18652871,NA,"private NFP"
"Corning Community College","Corning","NY","two year",2339914,4652,"public"
"Crouse Hospital School of Nursing","Syracuse","NY","two year",671814,6172,"private NFP"
"Culiry Institute of America","Hyde Park","NY","four year",77538355,8275,"private NFP"
"CVPH Medical Center School of Radiologic Technology","Plattsburgh","NY","two year",210400,5250,"private NFP"
"D'Youville College","Buffalo","NY","four year",34816209,9605,"private NFP"
"Daemen College","Amherst","NY","four year",26390298,6191,"private NFP"
"Darkei Noam Rabbinical College","Brooklyn","NY","four year",85000,NA,"private NFP"
"Dominican College of Blauvelt","Orangeburg","NY","four year",22746355,13427,"private NFP"
"Dowling College","Oakdale","NY","four year",65198147,9408,"private NFP"
"Dutchess Community College","Poughkeepsie","NY","two year",14786274,4888,"public"
"Ellis School of Nursing","Schenectady","NY","two year",278384,4625,"private NFP"
"Elmira College","Elmira","NY","four year",20577368,5725,"private NFP"
"Fashion Institute of Technology","New York","NY","four year",58386910,5980,"public"
"Finger Lakes Community College","Candaigua","NY","two year",3213606,5187,"public"
"Fulton-Montgomery Community College","Johnstown","NY","two year",706342,4604,"public"
"The General Theological Semiry","New York","NY","four year",1216233,NA,"private NFP"
"Genesee Community College","Batavia","NY","two year",717745,5286,"public"
"Hamilton College","Clinton","NY","four year",52731000,4661,"private NFP"
"Hartwick College","Oneonta","NY","four year",22405427,9319,"private NFP"
"Helene Fuld College of Nursing","New York","NY","two year",3863062,8152,"private NFP"
"Hilbert College","Hamburg","NY","four year",8397984,11172,"private NFP"
"Hobart William Smith Colleges","Geneva","NY","four year",45450149,5667,"private NFP"
"Hofstra University","Hempstead","NY","four year",255596748,9893,"private NFP"
"Hudson Valley Community College","Troy","NY","two year",21947280,4673,"public"
"Institute of Design and Construction","Brooklyn","NY","two year",764580,7016,"private NFP"
"Io College","New Rochelle","NY","four year",63899304,7332,"private NFP"
"Ithaca College","Ithaca","NY","four year",123853331,6237,"private NFP"
"Jefferson Community College","Watertown","NY","two year",1850849,3366,"public"
"Jewish Theological Semiry of America","New York","NY","four year",960559,10861,"private NFP"
"The Juilliard School","New York","NY","four year",12212416,6264,"private NFP"
"Keuka College","Keuka Park","NY","four year",14263902,7309,"private NFP"
"Kol Yaakov Torah Center","Monsey","NY","four year",44436,NA,"private NFP"
"Le Moyne College","Syracuse","NY","four year",38813503,7053,"private NFP"
"Long Island College Hospital of Brooklyn School of Nursing","Brooklyn","NY","two year",1485936,5418,"private NFP"
"Machzikei Hadath Rabbinical College","Brooklyn","NY","four year",424255,NA,"private NFP"
"Manhattan College","Bronx","NY","four year",57506632,7704,"private NFP"
"Manhattan School of Music","New York","NY","four year",23044321,8663,"private NFP"
"Manhattanville College","Purchase","NY","four year",37828690,6179,"private NFP"
"Maria College of Albany","Albany","NY","two year",6681780,5098,"private NFP"
"Marist College","Poughkeepsie","NY","four year",96457519,7454,"private NFP"
"Marymount Manhattan College","New York","NY","four year",31319148,7945,"private NFP"
"Medaille College","Buffalo","NY","four year",36691934,6138,"private NFP"
"Memorial Hospital School of Nursing","Albany","NY","two year",603063,1000,"private NFP"
"Memorial Hospital School of Radiation Therapy Technology","New York","NY","two year",7950,NA,"private NFP"
"Merce Cunningham Studio","New York","NY","two year",108128,NA,"private NFP"
"Mesivta of Eastern Parkway-Yeshiva Zichron Meilech","Brooklyn","NY","four year",15407,NA,"private NFP"
"Mesivtha Tifereth Jerusalem of America","New York","NY","four year",883260,NA,"private NFP"
"Mirrer Yeshiva Cent Institute","Brooklyn","NY","four year",434287,NA,"private NFP"
"Molloy College","Rockville Centre","NY","four year",55577091,4289,"private NFP"
"Mount Saint Mary College","Newburgh","NY","four year",32921945,8031,"private NFP"
"Dorothea Hopfer School of Nursing-Mt Vernon Hospital","Mount Vernon","NY","two year",776948,2750,"private NFP"
"College of Mount Saint Vincent","Bronx","NY","four year",22805161,6934,"private NFP"
"Mount Sii School of Medicine","New York","NY","four year",20409663,NA,"private NFP"
"ssau Community College","Garden City","NY","two year",48530701,4714,"public"
"zareth College","Rochester","NY","four year",44162225,7736,"private NFP"
"Neighborhood Playhouse School of the Theater","New York","NY","two year",1301479,8161,"private NFP"
"The College of New Rochelle","New Rochelle","NY","four year",28591115,4972,"private NFP"
"The New School","New York","NY","four year",214964000,7090,"private NFP"
"New York Chiropractic College","Seneca Falls","NY","four year",18658637,NA,"private NFP"
"New York Law School","New York","NY","four year",71746372,NA,"private NFP"
"New York Medical College","Valhalla","NY","four year",44826889,NA,"private NFP"
"New York University","New York","NY","four year",1196481000,8260,"private NFP"
"Niagara County Community College","Sanborn","NY","two year",4893167,4350,"public"
"Niagara University","Niagara University","NY","four year",39629683,10559,"private NFP"
"New York College of Podiatric Medicine","New York","NY","four year",8225453,NA,"private NFP"
"New York School of Interior Design","New York","NY","four year",9137874,7111,"private NFP"
"Nyack College","Nyack","NY","four year",33727624,6765,"private NFP"
"Ohr Hameir Theological Semiry","Peekskill","NY","four year",1187190,NA,"private NFP"
"Onondaga Community College","Syracuse","NY","two year",12902569,4640,"public"
"Orange County Community College","Middletown","NY","two year",12708748,4863,"public"
"Paul Smiths College of Arts and Science","Paul Smiths","NY","four year",9971442,7236,"private NFP"
"Polytechnic Institute of New York University","Brooklyn","NY","four year",59424000,6725,"private NFP"
"Davis College","Johnson City","NY","four year",307587,7106,"private NFP"
"Professiol Business College","New York","NY","two year",420051,1163,"private NFP"
"Rabbinical College of Ch'san Sofer New York","Brooklyn","NY","four year",46575,NA,"private NFP"
"Rabbinical College Beth Shraga","Monsey","NY","four year",699331,NA,"private NFP"
"Rabbinical Semiry M'kor Chaim","Brooklyn","NY","four year",474253,NA,"private NFP"
"Rabbinical College of Long Island","Long Beach","NY","four year",1211207,NA,"private NFP"
"Rensselaer Polytechnic Institute","Troy","NY","four year",138306000,9510,"private NFP"
"Roberts Wesleyan College","Rochester","NY","four year",22456016,8600,"private NFP"
"Rochester Institute of Technology","Rochester","NY","four year",212755000,7072,"private NFP"
"Rockland Community College","Suffern","NY","two year",13411956,3761,"public"
"St Berrd's School of Theology and Ministry","Rochester","NY","four year",733623,NA,"private NFP"
"Saint Boventure University","Saint Boventure","NY","four year",24483691,7402,"private NFP"
"St. Francis College","Brooklyn Heights","NY","four year",22953269,6051,"private NFP"
"St Joseph's College of Nursing at St Joseph's Hospital Health Center","Syracuse","NY","two year",2351240,7500,"private NFP"
"St Lawrence University","Canton","NY","four year",48865093,5224,"private NFP"
"The College of Saint Rose","Albany","NY","four year",58242790,7129,"private NFP"
"Saint Thomas Aquis College","Sparkill","NY","four year",20807838,7228,"private NFP"
"Samaritan Hospital School of Nursing","Troy","NY","two year",755516,9500,"private NFP"
"Sarah Lawrence College","Bronxville","NY","four year",38482935,5411,"private NFP"
"Schenectady County Community College","Schenectady","NY","two year",2710996,4570,"public"
"Semiry of the Immaculate Conception","Huntington","NY","four year",1046128,NA,"private NFP"
"Sh'or Yoshuv Rabbinical College","Lawrence","NY","four year",1203597,NA,"private NFP"
"Sie College","Loudonville","NY","four year",43517355,7212,"private NFP"
"Skidmore College","Saratoga Springs","NY","four year",77007000,5021,"private NFP"
"Saint Josephs Semiry and College","Yonkers","NY","four year",269820,NA,"private NFP"
"Saint Vladimirs Orthodox Theological Semiry","Crestwood","NY","four year",450129,NA,"private NFP"
"Faxton-St Luke's Healthcare School of Radiologic Technology","Utica","NY","two year",92505,2568,"private NFP"
"Saint John Fisher College","Rochester","NY","four year",51489368,6699,"private NFP"
"St James Mercy Hospital School of Radiologic Science","Hornell","NY","two year",47654,7388,"private NFP"
"St. John's University-New York","Queens","NY","four year",296419635,6922,"private NFP"
"SUNY College of Technology at Alfred","Alfred","NY","four year",3419745,7707,"public"
"SUNY College of Technology at Canton","Canton","NY","four year",1162693,5731,"public"
"SUNY College of Technology at Delhi","Delhi","NY","four year",3356848,5764,"public"
"SUNY College of Agriculture and Technology at Cobleskill","Cobleskill","NY","four year",3885480,5873,"public"
"Farmingdale State College","Farmingdale","NY","four year",22599056,5265,"public"
"SUNY at Albany","Albany","NY","four year",61611264,6126,"public"
"SUNY at Binghamton","Binghamton","NY","four year",60360538,5740,"public"
"University at Buffalo","Buffalo","NY","four year",138452160,5795,"public"
"Stony Brook University","Stony Brook","NY","four year",92701619,5445,"public"
"SUNY College of Environmental Science and Forestry","Syracuse","NY","four year",7342766,4839,"public"
"SUNY Institute of Technology at Utica-Rome","Utica","NY","four year",6617513,5615,"public"
"SUNY College at Brockport","Brockport","NY","four year",19932264,6400,"public"
"SUNY College at Buffalo","Buffalo","NY","four year",23872388,3670,"public"
"SUNY College at Cortland","Cortland","NY","four year",25058407,6441,"public"
"SUNY at Fredonia","Fredonia","NY","four year",16260641,6990,"public"
"SUNY at Geneseo","Geneseo","NY","four year",20030949,6077,"public"
"SUNY College at New Paltz","New Paltz","NY","four year",30621157,5663,"public"
"SUNY College at Oneonta","Oneonta","NY","four year",15794856,6247,"public"
"SUNY College at Oswego","Oswego","NY","four year",19730234,6105,"public"
"SUNY College at Potsdam","Potsdam","NY","four year",11154595,5900,"public"
"SUNY at Purchase College","Purchase","NY","four year",18434458,5180,"public"
"SUNY College of Optometry","New York","NY","four year",5180762,NA,"public"
"SUNY College at Old Westbury","Old Westbury","NY","four year",7878029,5413,"public"
"SUNY College at Plattsburgh","Plattsburgh","NY","four year",20054225,5466,"public"
"SUNY Health Science Center at Brooklyn","Brooklyn","NY","four year",22707336,NA,"public"
"SUNY Empire State College","Saratoga Springs","NY","four year",29040598,7930,"public"
"SUNY Maritime College","Throggs Neck","NY","four year",7886497,7061,"public"
"SUNY Health Science Center at Syracuse","Syracuse","NY","four year",18284049,NA,"public"
"Talmudical Semiry Oholei Torah","Brooklyn","NY","four year",1380914,NA,"private NFP"
"Talmudical Institute of Upstate New York","Rochester","NY","four year",329791,NA,"private NFP"
"Tompkins Cortland Community College","Dryden","NY","two year",6384945,4682,"public"
"Torah Temimah Talmudical Semiry","Brooklyn","NY","four year",1013543,NA,"private NFP"
"Touro College","New York","NY","four year",94034500,3500,"private NFP"
"Trocaire College","Buffalo","NY","two year",7679325,6818,"private NFP"
"Excelsior College","Albany","NY","four year",58866722,NA,"private NFP"
"Ulster County Community College","Stone Ridge","NY","two year",5609392,3882,"public"
"Union College","Schenectady","NY","four year",50869820,4707,"private NFP"
"Union Theological Semiry","New York","NY","four year",1375511,NA,"private NFP"
"United States Merchant Marine Academy","Kings Point","NY","four year",1243502,275,"public"
"Utica College","Utica","NY","four year",34939949,12002,"private NFP"
"Vassar College","Poughkeepsie","NY","four year",59169215,3823,"private NFP"
"Villa Maria College Buffalo","Buffalo","NY","four year",4423224,6146,"private NFP"
"Wagner College","Staten Island","NY","four year",40390189,9142,"private NFP"
"Webb Institute","Glen Cove","NY","four year",847201,7833,"private NFP"
"Wells College","Aurora","NY","four year",5660711,8394,"private NFP"
"SUNY Westchester Community College","Valhalla","NY","two year",28428758,3117,"public"
"Word of Life Bible Institute","Pottersville","NY","two year",1837896,5329,"private NFP"
"Yeshiva Karlin Stolin","Brooklyn","NY","four year",52506,NA,"private NFP"
"Yeshivat Mikdash Melech","Brooklyn","NY","four year",262093,NA,"private NFP"
"Yeshiva Derech Chaim","Brooklyn","NY","four year",603963,NA,"private NFP"
"Yeshiva of Nitra Rabbinical College","Mount Kisco","NY","four year",742924,NA,"private NFP"
"Yeshiva Shaar Hatorah","Kew Gardens","NY","four year",1257085,NA,"private NFP"
"Yeshiva University","New York","NY","four year",121225511,7176,"private NFP"
"Yeshivath Viznitz","Monsey","NY","four year",416117,NA,"private NFP"
"Yeshivath Zichron Moshe","South Fallsburgh","NY","four year",846243,NA,"private NFP"
"Appalachian State University","Boone","NC","four year",45433417,4936,"public"
"Barton College","Wilson","NC","four year",10750866,8439,"private NFP"
"Belmont Abbey College","Belmont","NC","four year",7210834,5489,"private NFP"
"Bennett College for Women","Greensboro","NC","four year",5580348,10656,"private NFP"
"Brevard College","Brevard","NC","four year",4760688,7185,"private NFP"
"Cabarrus College of Health Sciences","Concord","NC","four year",2130392,4705,"private NFP"
"Campbell University Inc","Buies Creek","NC","four year",53009002,7179,"private NFP"
"Catawba College","Salisbury","NC","four year",7562376,6889,"private NFP"
"Chowan University","Murfreesboro","NC","four year",7012157,8880,"private NFP"
"Davidson College","Davidson","NC","four year",33249675,7767,"private NFP"
"Duke University","Durham","NC","four year",286069000,4755,"private NFP"
"East Caroli University","Greenville","NC","four year",105974252,6060,"public"
"Elon University","Elon","NC","four year",110285416,7542,"private NFP"
"Gardner-Webb University","Boiling Springs","NC","four year",22829711,6866,"private NFP"
"Greensboro College","Greensboro","NC","four year",9231051,9015,"private NFP"
"Guilford College","Greensboro","NC","four year",21350783,6477,"private NFP"
"Heritage Bible College","Dunn","NC","four year",223939,8167,"private NFP"
"High Point University","High Point","NC","four year",55682985,8462,"private NFP"
"John Wesley College","High Point","NC","four year",713209,8186,"private NFP"
"Johnson C Smith University","Charlotte","NC","four year",11130576,7011,"private NFP"
"Lees-McRae College","Banner Elk","NC","four year",10607830,6105,"private NFP"
"Lenoir-Rhyne University","Hickory","NC","four year",12062962,5541,"private NFP"
"Livingstone College","Salisbury","NC","four year",3560500,9204,"private NFP"
"Louisburg College","Louisburg","NC","two year",1574793,6708,"private NFP"
"Mars Hill College","Mars Hill","NC","four year",5209165,8353,"private NFP"
"Mercy School of Nursing","Charlotte","NC","two year",811861,NA,"public"
"Meredith College","Raleigh","NC","four year",25849781,7553,"private NFP"
"Methodist University","Fayetteville","NC","four year",17783760,16786,"private NFP"
"Montreat College","Montreat","NC","four year",7666544,7247,"private NFP"
"North Caroli A & T State University","Greensboro","NC","four year",7224630,4876,"public"
"University of North Caroli at Asheville","Asheville","NC","four year",8902057,5104,"public"
"University of North Caroli at Chapel Hill","Chapel Hill","NC","four year",169430297,5606,"public"
"University of North Caroli at Greensboro","Greensboro","NC","four year",26860463,4990,"public"
"North Caroli Central University","Durham","NC","four year",14904239,5000,"public"
"University of North Caroli School of the Arts","Winston-Salem","NC","four year",7374950,6497,"public"
"North Caroli State University at Raleigh","Raleigh","NC","four year",117668193,5251,"public"
"North Caroli Wesleyan College","Rocky Mount","NC","four year",7899852,9129,"private NFP"
"University of North Caroli-Wilmington","Wilmington","NC","four year",48243780,5483,"public"
"Peace College","Raleigh","NC","four year",5982308,6885,"private NFP"
"University of North Caroli at Pembroke","Pembroke","NC","four year",1099698,4514,"public"
"Pfeiffer University","Misenheimer","NC","four year",12745896,5986,"private NFP"
"Piedmont Baptist College and Graduate School","Winston Salem","NC","four year",1387036,5599,"private NFP"
"Queens University of Charlotte","Charlotte","NC","four year",18015613,6762,"private NFP"
"Mid-Atlantic Christian University","Elizabeth City","NC","four year",578731,7134,"private NFP"
"Saint Augustines College","Raleigh","NC","four year",13652642,4117,"private NFP"
"Salem College","Winston Salem","NC","four year",4413124,4601,"private NFP"
"Shaw University","Raleigh","NC","four year",13365199,8916,"private NFP"
"St Andrews Presbyterian College","Laurinburg","NC","four year",4882292,6844,"private NFP"
"Wake Forest University","Winston Salem","NC","four year",141336943,7085,"private NFP"
"Wake Technical Community College","Raleigh","NC","two year",3696893,5449,"public"
"Warren Wilson College","Swannoa","NC","four year",15362298,4998,"private NFP"
"Watts School of Nursing","Durham","NC","two year",1944503,NA,"private NFP"
"Wingate University","Wingate","NC","four year",19692872,3877,"private NFP"
"Caroli Christian College","Winston Salem","NC","four year",232732,5752,"private NFP"
"Western Caroli University","Cullowhee","NC","four year",17348459,4973,"public"
"Bismarck State College","Bismarck","ND","four year",9545091,5083,"public"
"Dickinson State University","Dickinson","ND","four year",7902164,5514,"public"
"Fort Berthold Community College","New Town","ND","two year",6663,NA,"public"
"Jamestown College","Jamestown","ND","four year",6719148,7081,"private NFP"
"Lake Region State College","Devils Lake","ND","two year",2795688,4873,"public"
"University of Mary","Bismarck","ND","four year",23060666,7036,"private NFP"
"Mayville State University","Mayville","ND","four year",2492209,6568,"public"
"Medcenter One College of Nursing","Bismarck","ND","four year",135460,NA,"private NFP"
"North Dakota State College of Science","Wahpeton","ND","two year",6497599,7291,"public"
"Sitting Bull College","Fort Yates","ND","four year",1036545,NA,"public"
"Trinity Bible College","Ellendale","ND","four year",2015624,8240,"private NFP"
"United Tribes Technical College","Bismarck","ND","two year",450925,2664,"private NFP"
"Valley City State University","Valley City","ND","four year",3379388,5820,"public"
"Allegheny Wesleyan College","Salem","OH","four year",35655,2500,"private NFP"
"Art Academy of Cincinti","Cincinti","OH","four year",4317425,6192,"private NFP"
"Ashland University","Ashland","OH","four year",58379499,8007,"private NFP"
"Atheeum of Ohio","Cincinti","OH","four year",730722,NA,"private NFP"
"Aultman College of Nursing and Health Sciences","Canton","OH","two year",2452687,5171,"private NFP"
"Baldwin-Wallace College","Berea","OH","four year",50035160,6464,"private NFP"
"Belmont Technical College","Saint Clairsville","OH","two year",698066,5501,"public"
"Bluffton University","Bluffton","OH","four year",10553840,8451,"private NFP"
"Case Western Reserve University","Cleveland","OH","four year",174926847,7769,"private NFP"
"Cedarville University","Cedarville","OH","four year",46293523,6659,"private NFP"
"Central Ohio Technical College","Newark","OH","two year",4561706,5399,"public"
"Chatfield College","Saint Martin","OH","two year",2087655,5537,"private NFP"
"The Christ College of Nursing and Health Sciences","Cincinti","OH","two year",2354200,5500,"private NFP"
"Cincinti Christian University","Cincinti","OH","four year",6435148,5825,"private NFP"
"Cincinti College of Mortuary Science","Cincinti","OH","four year",986443,8240,"private NFP"
"Cincinti State Technical and Community College","Cincinti","OH","two year",26558489,4581,"public"
"Ohio Christian University","Circleville","OH","four year",3639550,6028,"private NFP"
"Clark State Community College","Springfield","OH","two year",3591150,4644,"public"
"Cleveland Institute of Art","Cleveland","OH","four year",9479490,11898,"private NFP"
"Cleveland Institute of Music","Cleveland","OH","four year",9650605,7308,"private NFP"
"Cleveland State University","Cleveland","OH","four year",108609956,6038,"public"
"Columbus College of Art and Design","Columbus","OH","four year",28563238,8654,"private NFP"
"Columbus State Community College","Columbus","OH","two year",31720254,4043,"public"
"Community Hospital School of Nursing","Springfield","OH","two year",574770,4139,"private NFP"
"University of Dayton","Dayton","OH","four year",163820000,11771,"private NFP"
"Defiance College","Defiance","OH","four year",11323428,8114,"private NFP"
"Denison University","Granville","OH","four year",34349552,9568,"private NFP"
"Edison State Community College","Piqua","OH","four year",1797710,5856,"public"
"The University of Findlay","Findlay","OH","four year",52996360,10528,"private NFP"
"Franklin University","Columbus","OH","four year",42441000,7254,"private NFP"
"Gods Bible School and College","Cincinti","OH","four year",432278,3464,"private NFP"
"Good Samaritan College of Nursing & Health Science","Cincinti","OH","two year",2446898,7524,"private NFP"
"Great Oaks Institute of Technology and Career Development","Cincinti","OH","two year",4489080,7504,"public"
"Heidelberg University","Tiffin","OH","four year",12605465,8131,"private NFP"
"Hiram College","Hiram","OH","four year",11039772,8468,"private NFP"
"Hocking College","Nelsonville","OH","two year",11276286,5528,"public"
"Huron School of Nursing","Cleveland","OH","two year",1101425,6225,"private NFP"
"Eastern Gateway Community College","Steubenville","OH","two year",2318551,NA,"public"
"John Carroll University","Cleveland","OH","four year",45469874,7154,"private NFP"
"Kenyon College","Gambier","OH","four year",42232772,4005,"private NFP"
"Kettering College of Medical Arts","Kettering","OH","four year",7917314,9303,"private NFP"
"Lake Erie College","Painesville","OH","four year",9934990,7519,"private NFP"
"O C Collins Career Center","Chesapeake","OH","two year",2026775,4330,"public"
"James A Rhodes State College","Lima","OH","two year",4828906,5668,"public"
"Lorain County Community College","Elyria","OH","two year",4428408,4029,"public"
"Lourdes College","Sylvania","OH","four year",17015289,5997,"private NFP"
"Malone University","Canton","OH","four year",23683882,6410,"private NFP"
"MedCentral College of Nursing","Mansfield","OH","four year",3505283,6641,"private NFP"
"Marietta College","Marietta","OH","four year",20789618,7851,"private NFP"
"Marion Technical College","Marion","OH","two year",3847877,4440,"public"
"Mercy College of Northwest Ohio","Toledo","OH","four year",5453051,5972,"private NFP"
"Methodist Theological School in Ohio","Delaware","OH","four year",1288088,NA,"private NFP"
"Mount Carmel College of Nursing","Columbus","OH","four year",10254418,4937,"private NFP"
"Mount Union College","Alliance","OH","four year",24530833,7346,"private NFP"
"Mount Vernon zarene University","Mount Vernon","OH","four year",24983732,6625,"private NFP"
"College of Mount St. Joseph","Cincinti","OH","four year",27870635,7820,"private NFP"
"Zane State College","Zanesville","OH","two year",9512376,5586,"public"
"Muskingum University","New Concord","OH","four year",17013499,7885,"private NFP"
"North Central State College","Mansfield","OH","two year",3708489,3971,"public"
"Northwest State Community College","Archbold","OH","two year",5095913,5611,"public"
"Toledo Public Schools Adult & Continuing Education","Toledo","OH","two year",430745,3857,"public"
"Notre Dame College","Cleveland","OH","four year",15018465,7473,"private NFP"
"Northeastern Ohio Universities Colleges of Medicine and Pharmacy","Rootstown","OH","four year",20961479,NA,"public"
"University of Northwestern Ohio","Lima","OH","four year",36464907,6668,"private NFP"
"Oberlin College","Oberlin","OH","four year",63941066,5750,"private NFP"
"Ohio College of Podiatric Medicine","Independence","OH","four year",11338321,NA,"private NFP"
"Ohio College of Massotherapy Inc","Akron","OH","two year",159054,5276,"private NFP"
"Ohio Dominican University","Columbus","OH","four year",20520999,6917,"private NFP"
"Ohio Northern University","Ada","OH","four year",54882573,13285,"private NFP"
"Trinity Health System School of Nursing","Steubenville","OH","two year",92741,NA,"private NFP"
"Ohio Wesleyan University","Delaware","OH","four year",28106461,6148,"private NFP"
"Otterbein College","Westerville","OH","four year",36777013,6331,"private NFP"
"Payne Theological Semiry","Wilberforce","OH","four year",736481,NA,"private NFP"
"Pontifical College Josephinum","Columbus","OH","four year",2130656,11082,"private NFP"
"Firelands Regiol Medical Center School of Nursing","Sandusky","OH","two year",788770,NA,"private NFP"
"Rabbinical College Telshe","Wickliffe","OH","four year",360990,NA,"private NFP"
"University of Rio Grande","Rio Grande","OH","four year",10769497,5655,"private NFP"
"Shawnee State University","Portsmouth","OH","four year",13700971,5437,"public"
"Sinclair Community College","Dayton","OH","two year",5449255,4045,"public"
"Stark State College of Technology","North Canton","OH","two year",6229030,6354,"public"
"Franciscan University of Steubenville","Steubenville","OH","four year",30430145,6063,"private NFP"
"Southern State Community College","Hillsboro","OH","two year",930236,2864,"public"
"Temple Baptist College","Cincinti","OH","four year",233371,5500,"private NFP"
"Terra State Community College","Fremont","OH","two year",3431626,4410,"public"
"Tiffin University","Tiffin","OH","four year",16704513,10232,"private NFP"
"University of Toledo","Toledo","OH","four year",167926204,6257,"public"
"Trinity Lutheran Semiry","Columbus","OH","four year",584921,NA,"private NFP"
"United Theological Semiry","Dayton","OH","four year",2209709,NA,"private NFP"
"Urba University","Urba","OH","four year",8937045,8174,"private NFP"
"Ursuline College","Pepper Pike","OH","four year",16900402,7183,"private NFP"
"Walsh University","North Canton","OH","four year",25950687,5855,"private NFP"
"Washington State Community College","Marietta","OH","two year",2407325,1987,"public"
"Wilberforce University","Wilberforce","OH","four year",2686837,7874,"private NFP"
"Wilmington College","Wilmington","OH","four year",10114476,7610,"private NFP"
"Winebrenner Theological Semiry","Findlay","OH","four year",657556,NA,"private NFP"
"Wittenberg University","Springfield","OH","four year",26370042,7759,"private NFP"
"The College of Wooster","Wooster","OH","four year",28200980,6212,"private NFP"
"Xavier University","Cincinti","OH","four year",89471866,7631,"private NFP"
"Youngstown State University","Youngstown","OH","four year",60669627,3711,"public"
"Oklahoma Wesleyan University","Bartlesville","OK","four year",8998601,8205,"private NFP"
"Southern zarene University","Bethany","OK","four year",19891243,6410,"private NFP"
"Cameron University","Lawton","OK","four year",6678258,3923,"public"
"University of Central Oklahoma","Edmond","OK","four year",33075812,5251,"public"
"East Central University","Ada","OK","four year",1160643,1830,"public"
"Hillsdale Free Will Baptist College","Moore","OK","four year",1632675,5529,"private NFP"
"Langston University","Langston","OK","four year",386523,7413,"public"
"Murray State College","Tishomingo","OK","two year",392624,2885,"public"
"Northeastern State University","Tahlequah","OK","four year",9163680,5377,"public"
"Northern Oklahoma College","Tonkawa","OK","two year",1652525,6095,"public"
"Northwestern Oklahoma State University","Alva","OK","four year",1131014,4205,"public"
"Oklahoma State University Center for Health Sciences","Tulsa","OK","four year",7502844,NA,"public"
"University of Oklahoma Health Sciences Center","Oklahoma City","OK","four year",54625000,NA,"public"
"Oklahoma Panhandle State University","Goodwell","OK","four year",778511,4821,"public"
"Oklahoma State University-Main Campus","Stillwater","OK","four year",85052035,5011,"public"
"Oklahoma State University-Oklahoma City","Oklahoma City","OK","four year",304417,5595,"public"
"Oklahoma Baptist University","Shawnee","OK","four year",12013590,5959,"private NFP"
"Oklahoma City Community College","Oklahoma City","OK","two year",4585760,5273,"public"
"Oklahoma City University","Oklahoma City","OK","four year",49372977,7002,"private NFP"
"University of Oklahoma Norman Campus","Norman","OK","four year",168978000,5900,"public"
"Oklahoma State University Institute of Technology-Okmulgee","Okmulgee","OK","four year",1628210,5827,"public"
"Oral Roberts University","Tulsa","OK","four year",31413374,7771,"private NFP"
"Rogers State University","Claremore","OK","four year",3797476,4558,"public"
"Saint Gregorys University","Shawnee","OK","four year",1215943,7672,"private NFP"
"Southeastern Oklahoma State University","Durant","OK","four year",6755291,3363,"public"
"Southwestern Christian University","Bethany","OK","four year",1535807,5043,"private NFP"
"Southwestern Oklahoma State University","Weatherford","OK","four year",7013378,4818,"public"
"University of Tulsa","Tulsa","OK","four year",55652784,6768,"private NFP"
"Western Oklahoma State College","Altus","OK","two year",1356833,4030,"public"
"Chemeketa Community College","Salem","OR","two year",2023014,5593,"public"
"Clackamas Community College","Oregon City","OR","two year",6767793,4909,"public"
"Concordia University","Portland","OR","four year",19444258,6687,"private NFP"
"Eastern Oregon University","La Grande","OR","four year",8192188,6837,"public"
"Eugene Bible College","Eugene","OR","four year",894445,6795,"private NFP"
