"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"Charles Drew University of Medicine and Science","Los Angeles","CA","four year",3090300,5500,"private NFP"
"Concordia University","Irvine","CA","four year",25522388,7595,"private NFP"
"San Diego Christian College","El Cajon","CA","four year",5896227,7011,"private NFP"
"Church Divinity School of the Pacific","Berkeley","CA","four year",604634,NA,"private NFP"
"Claremont Graduate University","Claremont","CA","four year",36912843,NA,"private NFP"
"Claremont McKen College","Claremont","CA","four year",29539000,5676,"private NFP"
"Cleveland Chiropractic College of Los Angeles","Los Angeles","CA","four year",6532319,10500,"private NFP"
"Coleman University","San Diego","CA","four year",5328347,6525,"private NFP"
"Western University of Health Sciences","Pomo","CA","four year",93003958,NA,"private NFP"
"Columbia College Hollywood","Tarza","CA","four year",4853116,12563,"private NFP"
"El Camino College-Compton Center","Compton","CA","two year",1657317,3475,"public"
"Cuesta College","San Luis Obispo","CA","two year",30672,5273,"public"
"Dell'Arte Intertiol School of Physical Theatre","Blue Lake","CA","four year",572322,NA,"private NFP"
"Dominican University of California","San Rafael","CA","four year",31469059,9164,"private NFP"
"Dominican School of Philosophy & Theology","Berkeley","CA","four year",759719,NA,"private NFP"
"Fielding Graduate University","Santa Barbara","CA","four year",25912639,NA,"private NFP"
"Five Branches University","Santa Cruz","CA","four year",4566898,NA,"private NFP"
"Franciscan School of Theology","Berkeley","CA","four year",444479,NA,"private NFP"
"Fresno Pacific University","Fresno","CA","four year",24615917,5736,"private NFP"
"Graduate Theological Union","Berkeley","CA","four year",1485295,NA,"private NFP"
"Harvey Mudd College","Claremont","CA","four year",15384044,6711,"private NFP"
"Holy mes University","Oakland","CA","four year",10316008,6809,"private NFP"
"Humboldt State University","Arcata","CA","four year",11634993,4826,"public"
"John F Kennedy University","Pleasant Hill","CA","four year",21220659,NA,"private NFP"
"American Jewish University","Los Angeles","CA","four year",2975843,12712,"private NFP"
"Life Pacific College","San Dimas","CA","four year",2220130,6492,"private NFP"
"University of La Verne","La Verne","CA","four year",79140796,7317,"private NFP"
"Lagu College of Art and Design","Lagu Beach","CA","four year",3851750,6008,"private NFP"
"Life Chiropractic College-West","Hayward","CA","four year",8802346,NA,"private NFP"
"Lincoln University","Oakland","CA","four year",2681969,8065,"private NFP"
"Southern California Semiry","El Cajon","CA","four year",1226054,9500,"private NFP"
"Southern California University of Health Sciences","Whittier","CA","four year",12126838,NA,"private NFP"
"The Master's College and Semiry","Santa Clarita","CA","four year",14387277,10170,"private NFP"
"Los Angeles County College of Nursing and Allied Health","Los Angeles","CA","two year",239634,NA,"public"
"Marymount College","Rancho Palos Verdes","CA","two year",9469102,6332,"private NFP"
"Menlo College","Atherton","CA","four year",9752582,7733,"private NFP"
"Mennonite Brethren Biblical Semiry","Fresno","CA","four year",584419,NA,"private NFP"
"Mills College","Oakland","CA","four year",24445864,7635,"private NFP"
"MiraCosta College","Oceanside","CA","two year",284657,2699,"public"
"The tiol Hispanic University","San Jose","CA","four year",726550,4000,"private NFP"
"tiol University","La Jolla","CA","four year",157750359,7916,"private NFP"
"Northwestern Polytechnic University","Fremont","CA","four year",10246896,NA,"private NFP"
"Notre Dame de mur University","Belmont","CA","four year",18223207,7180,"private NFP"
"Occidental College","Los Angeles","CA","four year",41334473,6646,"private NFP"
"Ohlone College","Fremont","CA","two year",1269257,4375,"public"
"Otis College of Art and Design","Los Angeles","CA","four year",25157699,6833,"private NFP"
